longitude,latitude,avg_temperature
-121.76157539923376,37.68095751779789,66.5625
-121.76153472265585,37.6811106568627,67.02444444444444
-121.76131210843954,37.680739759568176,67.12666666666667
-121.761235861374,37.680738958605794,66.62611111111111
-121.76138733422377,37.68080197626326,66.83285714285714
-121.76138631293637,37.68086339204456,66.595
-121.76131108709242,37.68080117534839,66.97333333333333
-121.76123483996406,37.68080037438424,67.05833333333334
-121.76131006574217,37.68086259112794,66.72625
-121.761233818551,37.68086179016202,66.61
-121.76116063578122,37.68067674181677,66.326
-121.76108438878457,37.680675940757595,66.57928571428572
-121.76115961431152,37.68073815759414,66.8503125
-121.76108336725206,37.6807373565332,67.13911764705882
-121.7610071201956,37.68073655542295,67.3069696969697
-121.76093087314217,37.68073575426346,67.39882352941176
-121.76115859283874,37.680799573370805,67.16357142857143
-121.76115757136286,37.680860989146844,66.988
-121.76100609859716,37.680797971196114,66.39
-121.7609298514809,37.68079717003485,66.7225
-121.76146153890592,37.68092560869434,66.61
-121.76138529164587,37.68092480782523,66.694
-121.76146051767515,37.680987024476096,66.85277777777777
-121.76138427035227,37.68098622360521,66.85074074074075
-121.76130904438885,37.68092400690683,66.667
-121.76123279713484,37.68092320593915,66.78785714285713
-121.76130802303243,37.68098542268505,66.816
-121.7612317757156,37.68098462171561,66.61600000000001
-121.76145949644126,37.68104844025717,66.9451724137931
-121.76138324905558,37.68104763938452,66.79714285714286
-121.76145847520431,37.68110985603759,67.05499999999999
-121.76138222775579,37.68110905516317,66.964
-121.76123075429321,37.68104603749139,66.56666666666666
-121.76130598031027,37.68110825423949,67.04833333333333
-121.76122973286778,37.68110745326652,66.6
-121.76115654988386,37.6809224049222,66.92222222222222
-121.76100201217234,37.68104363428211,67.19777777777777
-121.76092576480478,37.681042833113786,66.925
-121.7610009905584,37.68110505005194,67.83894736842106
-121.76092474312797,37.68110424888186,68.15857142857143
-121.76071132850822,37.68018060856443,66.86
-121.76071030668638,37.680242024336515,66.77571428571429
-121.7606330382599,37.68030263876365,66.9
-121.76070826303341,37.680364855878686,67.046
-121.76063201636903,37.68036405453265,66.866
-121.76048258908962,37.680178204394366,67.01571428571428
-121.76055781361197,37.68024042160222,67.05
-121.76074383186157,37.68051879595941,67.056
-121.76055474775086,37.680424668903896,66.83857142857143
-121.76055372579096,37.680486084669816,67.52615384615385
-121.760477479007,37.680485283221685,66.12129496402878
-121.760401232226,37.68048448172428,66.30491525423729
-121.76032498544804,37.6804836801776,66.86
-121.76055270382795,37.680547500435026,67.42489361702127
-121.76047645698114,37.680546698985154,67.3053947368421
-121.76055168186184,37.68060891619959,67.08166666666666
-121.7604754349522,37.68060811474795,66.8532
-121.76040021013735,37.68054589748599,67.08803571428571
-121.76032396329657,37.68054509593754,66.877
-121.76010033446123,37.680235612216656,65.499
-121.76002408794666,37.68023481047993,65.7955
-121.76009931213365,37.680297027973964,65.934375
-121.76002306555627,37.68029622623548,65.73142857142857
-121.760098289803,37.680358443730604,66.11967741935484
-121.76002204316279,37.68035764199034,65.8559375
-121.75994784143516,37.68023400869392,65.51333333333334
-121.75987159492662,37.680233206858645,65.49727272727273
-121.75979534842115,37.68023240497404,65.4976923076923
-121.7597191019187,37.6802316030402,65.359
-121.75994681898194,37.68029542444769,65.77809523809523
-121.75987057241059,37.68029462261063,65.90444444444444
-121.75994579652559,37.68035684020081,65.91235294117647
-121.75986954989145,37.68035603836198,65.811
-121.7597943258423,37.680293820724295,65.71666666666667
-121.759718079277,37.68029301878869,65.63238095238096
-121.75979330326032,37.680355236473886,65.71291666666667
-121.7597170566322,37.6803544345365,66.15285714285714
-121.7602111264085,37.68045176988629,66.25444444444445
-121.76009726746922,37.68041985948656,66.20272727272727
-121.76002102076619,37.68041905774455,65.62266666666667
-121.76009624513236,37.68048127524188,66.22382352941177
-121.76001999836647,37.680480473498086,65.81903225806452
-121.76024771645882,37.680544294339825,66.71064516129033
-121.76017146962405,37.68054349269281,66.50666666666667
-121.76017044734381,37.68060490844856,66.70833333333333
-121.76009522279236,37.680542690996546,66.31225
-121.76001897596366,37.680541889250975,65.98181818181818
-121.76009420044927,37.68060410675051,66.1123076923077
-121.76001795355775,37.68060330500319,66.1775
-121.75994477406617,37.680418255953235,65.73647058823529
-121.75986852736919,37.68041745411266,65.66642857142857
-121.75994375160363,37.680479671705015,66.00692307692307
-121.75986750484384,37.68047886986266,65.93230769230769
-121.75979228067523,37.68041665222279,65.8
-121.75971603398429,37.680415850283644,65.8725
-121.75979125808705,37.68047806797104,65.78736842105263
-121.75971501133326,37.68047726603013,65.85
-121.75994272913799,37.68054108745613,65.89047619047619
-121.75986648231536,37.68054028561201,65.80470588235295
